Project,Tracker,Priority,Estimated time,Private,Effort,Subject_clean,N of Part
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,gap analysis report preparation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,6.0,No,6.0,analyze gap,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,intermediate gap analysis report preparation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,intermediate gap analysis presentation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,16.0,No,16.0,intermediate gap analysis,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,intermediate gap analysis plan and preparation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,1.0,No,1.0,project dissemination,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,1.0,No,1.0,project plan,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,1.0,No,1.0,financial adjudication,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,1.0,No,1.0,kickoff meeting,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,0.5,No,0.5,press release,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,project closure video,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,project closure,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,internal closure,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,readiness review meeting,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,16.0,No,16.0,evidence mapping,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,Yes,2.0,steering 4,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,Yes,2.0,steering 3,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,0.0,No,0.0,process training,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,Yes,2.0,steering 2,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,Yes,2.0,steering 1,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,workshop quality,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,16.0,No,16.0,workshop project management,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,workshop requirement,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,workshop organization structure,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,8.0,No,8.0,workshop estimating,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,16.0,No,16.0,workshop engineering,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,0.0,No,0.0,cmmi training,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,8.0,No,8.0,steering meeting,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,pilot monitoring,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,pilot training,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,workshop plan and preparation,1
77.1 Deloitte - CMMI Services,Task,Trivial,0.0,No,0.0,project configuration project instance creation,1
77.1 Deloitte - CMMI Services,Task,Trivial,0.0,No,0.0,project configuration,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,2.0,team definition,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,gap analysis report presentation,1
77.1 Deloitte - CMMI Services,Task,Trivial,16.0,No,16.0,gap analysis report preparation,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,2.0,deloitte service followup,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte gap analysis cmmi srv 3 fill,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte service followup,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,workshop requirement,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,workshop engineering,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,workshop quality,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,workshop organization structure,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,workshop project management,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,workshop estimating,1
77.1 Deloitte - CMMI Services,Task,Trivial,0.0,No,0.0,deloitte service intermediate rating,1
77.1 Deloitte - CMMI Services,Task,Trivial,16.0,No,16.0,deloitte cmmi3 service intermediate rating,1
77.1 Deloitte - CMMI Services,Task,Trivial,8.0,No,8.0,deloitte cmmi3 service intermediate rating,1
77.1 Deloitte - CMMI Services,Task,Trivial,8.0,No,8.0,deloitte cmmi3 service intermediate rating,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte service intermediate rating,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service followup preparation,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service followup preparation,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service intermediate rating presentation,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service internal meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service report preparation,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte gap analysis cmmi srv 3,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,2.0,deloitte cmmi3 service correction report,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,2.0,deloitte service introduction to mapping readness review,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte development review report audit,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi 3 svc evidence review,1
77.1 Deloitte - CMMI Services,Task,Trivial,0.0,No,0.0,deloitte cmmi3 service monitoring meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service monitoring meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service followup preparation,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service monitoring meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,8.0,No,8.0,deloitte service readiness review,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,2.0,deloitte cmmi3 service workshop mapeamento,1
77.1 Deloitte - CMMI Services,Task,Trivial,16.0,No,16.0,deloitte cmmi3 service readiness review,1
77.1 Deloitte - CMMI Services,Task,Trivial,3.0,No,3.0,deloitte service resultados readiness review,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte service readiness review,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,readiness review meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service monitoring meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte service sepg service tracking,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi 3 svc preparation intermediate evaluation,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 svc preparation service continuity plan,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service review of finding,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,2.0,deloitte service followup,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,2.0,deloitte acomamenta 46,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,2.0,deloitte cmmi service monitoring,1
77.1 Deloitte - CMMI Services,Task,Trivial,32.0,Yes,32.0,scope,1
77.1 Deloitte - CMMI Services,Task,Trivial,32.0,No,32.0,scope,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,Yes,2.0,deloitte cmmi3 service preparação lesson learned,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,6.0,project closure video,3
77.1 Deloitte - CMMI Services,Task,Trivial,2.0,No,6.0,project closure,3
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi service sepg meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service monitoring meeting sepg,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service monitoring meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service monitoring meeting,1
77.1 Deloitte - CMMI Services,Task,Trivial,1.0,No,1.0,deloitte cmmi service,1
77.1 Deloitte - CMMI Services,Task,Trivial,2.5,No,2.5,deloitte service 3 monitoring,1
77.1 Deloitte - CMMI Services,Task,Trivial,4.0,No,4.0,deloitte cmmi3 service readiness review result presentation,1
77.1 Deloitte - CMMI Services,Task,Trivial,8.0,No,8.0,deloitte cmmi3 service preparation of training scampi,1
77.1 Deloitte - CMMI Services,Task,Trivial,8.0,No,8.0,deloitte cmmi3 service training scampi,1
77.1 Deloitte - CMMI Services,Task,Trivial,8.0,No,8.0,deloitte cmmi service 3 scampi preparation,1
77.1 Deloitte - CMMI Services,Task,Trivial,1.0,No,1.0,deloitte cmmi service 3 review daa presentation scampi preparation,1
77.1 Deloitte - CMMI Services,Task,Trivial,8.0,No,8.0,deloitte cmmi service preparation scampi,1
77.1 Deloitte - CMMI Services,Task,Trivial,8.0,No,8.0,deloitte cmmi service 3 watching training scampi,1
79.1 DECO - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
79.1 DECO - RGPD,Task,Trivial,0.0,No,0.0,initial training,1
79.1 DECO - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
79.1 DECO - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
79.1 DECO - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
79.1 DECO - RGPD,Task,Trivial,4.0,Yes,4.0,monitoring meeting 7,1
79.1 DECO - RGPD,Task,Trivial,4.0,Yes,4.0,monitoring meeting 6,1
79.1 DECO - RGPD,Task,Trivial,4.0,Yes,4.0,followup meeting 5,1
79.1 DECO - RGPD,Task,Trivial,4.0,Yes,4.0,monitoring meeting 4,1
79.1 DECO - RGPD,Task,Trivial,4.0,Yes,4.0,monitoring meeting 3,1
79.1 DECO - RGPD,Task,Trivial,4.0,Yes,4.0,monitoring meeting 2,1
79.1 DECO - RGPD,Task,Trivial,4.0,Yes,4.0,monitoring meeting 1,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,monitoring meeting 12,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,monitoring meeting 11,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,followup meeting 10,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,monitoring meeting 9,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,monitoring meeting 8,1
79.1 DECO - RGPD,Task,Trivial,16.0,No,16.0,final evaluation plan,1
79.1 DECO - RGPD,Task,Trivial,0.0,No,0.0,management review,1
79.1 DECO - RGPD,Task,Trivial,0.0,No,0.0,workshop 6 information security,1
79.1 DECO - RGPD,Task,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,workshop 4 data violation and order management,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,workshop 3 privacy policy and consent process,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,workshop 2 risk treatment process,1
79.1 DECO - RGPD,Task,Trivial,4.0,No,4.0,workshop 1 data treatment process,1
79.1 DECO - RGPD,Task,Trivial,8.0,No,8.0,initial evaluation,1
79.1 DECO - RGPD,Task,Trivial,6.0,No,6.0,steering meeting,1
79.1 DECO - RGPD,Task,Trivial,0.0,No,0.0,project and process monitoring,1
79.1 DECO - RGPD,Task,Trivial,0.0,No,0.0,process training,1
79.1 DECO - RGPD,Task,Trivial,1.0,No,1.0,internal closure,1
79.1 DECO - RGPD,Task,Trivial,1.0,No,1.0,external closure,1
81.1 CIMPAS - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
81.1 CIMPAS - RGPD,Task,Trivial,0.0,No,0.0,initial training,1
81.1 CIMPAS - RGPD,Task,Trivial,1.0,No,1.0,kickoff meeting,1
81.1 CIMPAS - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
81.1 CIMPAS - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
81.1 CIMPAS - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 3,1
81.1 CIMPAS - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 2,1
81.1 CIMPAS - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 1,1
81.1 CIMPAS - RGPD,Task,Trivial,8.0,No,8.0,final evaluation plan,1
81.1 CIMPAS - RGPD,Task,Trivial,0.0,No,0.0,management review,1
81.1 CIMPAS - RGPD,Task,Trivial,4.0,No,4.0,workshop 6 information security,1
81.1 CIMPAS - RGPD,Meeting,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
81.1 CIMPAS - RGPD,Task,Trivial,4.0,No,4.0,workshop 4 data violation and order management,1
81.1 CIMPAS - RGPD,Task,Trivial,4.0,No,4.0,workshop 3 privacy policy and consent process,1
81.1 CIMPAS - RGPD,Task,Trivial,4.0,No,4.0,workshop 2 risk treatment process,1
81.1 CIMPAS - RGPD,Task,Trivial,4.0,No,4.0,workshop 1 data treatment process,1
81.1 CIMPAS - RGPD,Task,Trivial,8.0,No,8.0,initial evaluation,1
81.1 CIMPAS - RGPD,Task,Trivial,2.0,No,2.0,steering meeting,1
81.1 CIMPAS - RGPD,Task,Trivial,0.0,No,0.0,project and process monitoring,1
81.1 CIMPAS - RGPD,Task,Trivial,0.0,No,0.0,process training,1
81.1 CIMPAS - RGPD,Task,Trivial,1.0,No,1.0,internal closure,1
81.1 CIMPAS - RGPD,Task,Trivial,1.0,No,1.0,external closure,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,8.0,No,8.0,initial training,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,1.0,No,1.0,kickoff meeting,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,16.0,No,16.0,final evaluation,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,8.0,No,8.0,monitoring meeting 4,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 3,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 2,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 1,1
82.1 PUBLICIS ONE - RGPD,Meeting,Trivial,14.0,No,14.0,publicis one rgpd monitoring,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,16.0,No,16.0,final evaluation plan,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,0.0,No,0.0,management review,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,4.0,No,4.0,workshop 6 information security,1
82.1 PUBLICIS ONE - RGPD,Meeting,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,0.0,No,0.0,workshop 4 data violation and order management,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,0.0,No,0.0,workshop 3 privacy policy and consent process,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,8.0,No,8.0,workshop 2 risk treatment process,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,4.0,No,4.0,workshop 1 data treatment process,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,8.0,No,8.0,initial evaluation,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,2.0,No,2.0,steering meeting,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,0.0,No,0.0,project and process monitoring,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,0.0,No,0.0,process training,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,1.0,No,1.0,internal closure,1
82.1 PUBLICIS ONE - RGPD,Task,Trivial,1.0,No,1.0,external closure,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,0.0,No,0.0,initial training,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,24.0,No,24.0,final evaluation,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,2.0,No,2.0,followup meeting 5,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 4,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 3,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 2,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 1,1
83.1 Ordem dos Engenheiros - RGPD,Meeting,Trivial,10.0,No,10.0,order of engineer rgpd monitoring,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,24.0,No,24.0,final evaluation plan,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,0.0,No,0.0,management review,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,0.0,No,0.0,workshop 6 information security,1
83.1 Ordem dos Engenheiros - RGPD,Meeting,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,4.0,No,4.0,workshop 4 data violation and order management,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,0.0,No,0.0,workshop 3 privacy policy and consent process,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,16.0,No,16.0,workshop 2 risk treatment process,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,0.0,No,0.0,workshop 1 data treatment process,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,8.0,No,8.0,initial evaluation,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,10.0,No,10.0,steering meeting,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,0.0,No,0.0,project and process monitoring,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,0.0,No,0.0,process training,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,1.0,No,1.0,internal closure,1
83.1 Ordem dos Engenheiros - RGPD,Task,Trivial,1.0,No,1.0,external closure,1
84.1 Omnibees - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
84.1 Omnibees - RGPD,Task,Trivial,8.0,No,8.0,initial training,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
84.1 Omnibees - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,followup meeting 5,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 4,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 3,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 2,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 1,1
84.1 Omnibees - RGPD,Task,Trivial,16.0,No,16.0,final evaluation plan,1
84.1 Omnibees - RGPD,Task,Trivial,0.0,No,0.0,management review,1
84.1 Omnibees - RGPD,Task,Trivial,0.0,No,0.0,workshop 6 information security,1
84.1 Omnibees - RGPD,Meeting,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
84.1 Omnibees - RGPD,Task,Trivial,0.0,No,0.0,workshop 4 data violation and order management,1
84.1 Omnibees - RGPD,Task,Trivial,4.0,No,4.0,workshop 3 privacy policy and consent process,1
84.1 Omnibees - RGPD,Task,Trivial,4.0,No,4.0,workshop 2 risk treatment process,1
84.1 Omnibees - RGPD,Task,Trivial,0.0,No,0.0,workshop 1 data treatment process,1
84.1 Omnibees - RGPD,Task,Trivial,8.0,No,8.0,initial evaluation,1
84.1 Omnibees - RGPD,Task,Trivial,0.0,No,0.0,steering meeting,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,project and process monitoring,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,process training,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,internal closure,1
84.1 Omnibees - RGPD,Task,Trivial,2.0,No,2.0,external closure,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,No,2.0,internal kickoff,1
85.1 Ebankit - ISO 27001,Task,Trivial,1.0,No,1.0,project planning,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,No,2.0,project kickoff,1
85.1 Ebankit - ISO 27001,Task,Trivial,1.0,No,1.0,kickoff,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,Yes,2.0,monitoring meeting 1,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,Yes,2.0,monitoring meeting 1,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,Yes,2.0,monitoring meeting 1,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,Yes,2.0,monitoring meeting 1,1
85.1 Ebankit - ISO 27001,Task,Trivial,4.0,Yes,4.0,preparation external audit phase 1,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,Yes,3.0,action plan,1
85.1 Ebankit - ISO 27001,Task,Trivial,24.0,Yes,24.0,external audit phase 1,1
85.1 Ebankit - ISO 27001,Task,Trivial,0.0,Yes,0.0,preparation external audit phase 2,1
85.1 Ebankit - ISO 27001,Task,Trivial,32.0,Yes,32.0,external audit phase 2,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,stock plan,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,No,2.0,final evaluation report,1
85.1 Ebankit - ISO 27001,Task,Trivial,0.0,No,0.0,final evaluation pre presentation of result,1
85.1 Ebankit - ISO 27001,Task,Trivial,12.0,No,12.0,final evaluation,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,final evaluation presentation of result,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,No,2.0,preparation of the initial evaluation,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,initial evaluation presentation of result,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,initial evaluation pre presentation result,1
85.1 Ebankit - ISO 27001,Task,Trivial,4.0,No,4.0,report initial evaluation,1
85.1 Ebankit - ISO 27001,Task,Trivial,8.0,No,8.0,initial evaluation,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,intermediate assessment presentation of the result,1
85.1 Ebankit - ISO 27001,Task,Trivial,2.0,No,2.0,intermediate rating report,1
85.1 Ebankit - ISO 27001,Task,Trivial,12.0,No,12.0,intermediate evaluation,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,interimation pre presentation of result,1
85.1 Ebankit - ISO 27001,Task,Trivial,1.0,No,1.0,internal design closure,1
85.1 Ebankit - ISO 27001,Task,Trivial,1.0,No,1.0,project zip,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 8 capacity management availability and continuity of business,1
85.1 Ebankit - ISO 27001,Task,Trivial,0.0,No,0.0,workshop 7 product development,1
85.1 Ebankit - ISO 27001,Task,Trivial,0.0,No,0.0,workshop 6 shopping and legal,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 5 information security in hr and marketing,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 4 troubleshootingvulnerabilities and incident,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 3 physical and logical control,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 2 information security management system and integrated management system,1
85.1 Ebankit - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 1 risk management,1
85.1 Ebankit - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,initial training,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
85.1 Ebankit - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 6,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,followup meeting 5,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 4,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 3,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 2,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 1,1
85.1 Ebankit - RGPD,Task,Trivial,16.0,No,16.0,final evaluation plan,1
85.1 Ebankit - RGPD,Task,Trivial,0.0,No,0.0,management review,1
85.1 Ebankit - RGPD,Task,Trivial,0.0,No,0.0,workshop 6 information security,1
85.1 Ebankit - RGPD,Meeting,Trivial,2.0,No,2.0,workshop 5 process financial rh communication,1
85.1 Ebankit - RGPD,Task,Trivial,1.0,No,1.0,workshop 4 data violation and order management,1
85.1 Ebankit - RGPD,Task,Trivial,1.0,No,1.0,workshop 3 privacy policy and consent process,1
85.1 Ebankit - RGPD,Task,Trivial,4.0,No,4.0,workshop 2 risk treatment process,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,workshop 1 data treatment process,1
85.1 Ebankit - RGPD,Task,Trivial,16.0,No,16.0,initial evaluation,1
85.1 Ebankit - RGPD,Task,Trivial,2.0,No,2.0,steering meeting,1
85.1 Ebankit - RGPD,Task,Trivial,0.0,No,0.0,project and process monitoring,1
85.1 Ebankit - RGPD,Task,Trivial,0.0,No,0.0,process training,1
85.1 Ebankit - RGPD,Task,Trivial,1.0,No,1.0,internal closure,1
85.1 Ebankit - RGPD,Task,Trivial,1.0,No,1.0,external closure,1
85.2 Ebankit - CMMI2,Task,Trivial,7.0,Yes,7.0,followup preparation,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,2.0,ebankit cmmi2 information collection appraisal audit team,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,2.0,monitoring 22,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,2.0,followup preparation,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,1.0,ebankit cmmi2 meeting preparation audit,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,1.0,followup 21,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,1.0,monitoring 22,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,1.0,accompaniment 20,1
85.2 Ebankit - CMMI2,Task,Trivial,6.0,Yes,6.0,ceremony sprint planning sprint review,1
